nn,class,text,presence_of_ruble,content_element,url,length,class_ob,element_id,style,enclosure,href,count,location_x,location_y,size_width,size_height,integer,float,n_digits,presence_of_vendor,presence_of_link,presence_of_at,has_point,writing_form,font-size,font-family,distance_btw_el_and_ruble,distance_btw_el_and_article,id_xpath
0,0,Белорусская обувь,0,head,https://belobuv.ru/,17,,,None,3,,1,0,0,0,0,0,0,0,0,0,0,1,2,14px,,,,head//[document][0]/html[0]/head[1]///https://belobuv.ru/
5,1,VC002-281 Baden Кроссовки мужские,0,a,https://belobuv.ru/,33,['name'],,None,19,https://belobuv.ru/vc002-281-baden-krossovki-muzhskie.html,5,-586,634,205,40,0,0,6,0,0,0,1,3,14px,,,,a//[document][0]/html[0]/body[36]/div[102]/div[134]/div[188]/div[189]/div[190]/div[216]/div[221]/div[222]/div[223]/div[224]/ul[225]/li[226]/div[227]/div[228]/div[229]/a[245]///https://belobuv.ru/
6,0,2 800р.Подробнее,0,div,https://belobuv.ru/,16,['buy-block'],,None,19,,15,-586,684,205,40,0,0,4,0,0,0,1,2,14px,,,,div//[document][0]/html[0]/body[36]/div[102]/div[134]/div[188]/div[189]/div[190]/div[216]/div[221]/div[222]/div[223]/div[224]/ul[225]/li[226]/div[227]/div[228]/div[229]/div[246]///https://belobuv.ru/
7,2,2 800р.,0,div,https://belobuv.ru/,7,,,None,20,,15,-586,684,68,40,0,0,4,0,0,0,1,2,18px,,,,div//[document][0]/html[0]/body[36]/div[102]/div[134]/div[188]/div[189]/div[190]/div[216]/div[221]/div[222]/div[223]/div[224]/ul[225]/li[226]/div[227]/div[228]/div[229]/div[246]/div[247]///https://belobuv.ru/
18,1,RZ030-010 Baden Сандалии женские,0,a,https://belobuv.ru/,32,['name'],,None,19,https://belobuv.ru/rz030-010-baden-sandalii-zhenskie.html,15,-352,634,205,40,0,0,6,0,0,0,1,3,14px,,,,a//[document][0]/html[0]/body[36]/div[102]/div[134]/div[188]/div[189]/div[190]/div[216]/div[221]/div[222]/div[223]/div[224]/ul[225]/li[259]/div[260]/div[261]/div[262]/a[278]///https://belobuv.ru/
19,0,3 200р.Подробнее,0,div,https://belobuv.ru/,16,['buy-block'],,None,19,,9,-352,684,205,40,0,0,4,0,0,0,1,2,14px,,,,div//[document][0]/html[0]/body[36]/div[102]/div[134]/div[188]/div[189]/div[190]/div[216]/div[221]/div[222]/div[223]/div[224]/ul[225]/li[259]/div[260]/div[261]/div[262]/div[279]///https://belobuv.ru/
20,2,3 200р.,0,div,https://belobuv.ru/,7,,,None,20,,9,-352,684,68,40,0,0,4,0,0,0,1,2,18px,,,,div//[document][0]/html[0]/body[36]/div[102]/div[134]/div[188]/div[189]/div[190]/div[216]/div[221]/div[222]/div[223]/div[224]/ul[225]/li[259]/div[260]/div[261]/div[262]/div[279]/div[280]///https://belobuv.ru/
26,1,HX073-010 Baden Сабо женские,0,a,https://belobuv.ru/,28,['name'],,None,19,https://belobuv.ru/hx073-010-baden-sabo-zhenskie.html,15,-116,634,205,40,0,0,6,0,0,0,1,3,14px,,,,a//[document][0]/html[0]/body[36]/div[102]/div[134]/div[188]/div[189]/div[190]/div[216]/div[221]/div[222]/div[223]/div[224]/ul[225]/li[292]/div[293]/div[294]/div[295]/a[309]///https://belobuv.ru/
27,1,333150 Marko Полуботинки женские,0,a,https://belobuv.ru/,32,['name'],,None,19,https://belobuv.ru/333150-marko-polubotinki-zhenskie.html,16,118,634,205,40,0,0,6,0,0,0,1,3,14px,,,,a//[document][0]/html[0]/body[36]/div[102]/div[134]/div[188]/div[189]/div[190]/div[216]/div[221]/div[222]/div[223]/div[224]/ul[225]/li[323]/div[324]/div[325]/div[326]/a[342]///https://belobuv.ru/
28,0,4 700р.Подробнее,0,div,https://belobuv.ru/,16,['buy-block'],,None,19,,11,118,684,205,40,0,0,4,0,0,0,1,2,14px,,,,div//[document][0]/html[0]/body[36]/div[102]/div[134]/div[188]/div[189]/div[190]/div[216]/div[221]/div[222]/div[223]/div[224]/ul[225]/li[323]/div[324]/div[325]/div[326]/div[343]///https://belobuv.ru/
29,2,4 700р.,0,div,https://belobuv.ru/,7,,,None,20,,11,118,684,68,40,0,0,4,0,0,0,1,2,18px,,,,div//[document][0]/html[0]/body[36]/div[102]/div[134]/div[188]/div[189]/div[190]/div[216]/div[221]/div[222]/div[223]/div[224]/ul[225]/li[323]/div[324]/div[325]/div[326]/div[343]/div[344]///https://belobuv.ru/
30,1,333148 Marko Кроссовки женские,0,a,https://belobuv.ru/,30,['name'],,None,19,https://belobuv.ru/333148-marko-krossovki-zhenskie.html,16,354,634,205,40,0,0,6,0,0,0,1,3,14px,,,,a//[document][0]/html[0]/body[36]/div[102]/div[134]/div[188]/div[189]/div[190]/div[216]/div[221]/div[222]/div[223]/div[224]/ul[225]/li[356]/div[357]/div[358]/div[359]/a[375]///https://belobuv.ru/
31,0,36 38 39 40 41,0,ul,https://belobuv.ru/,14,,,None,20,,12,0,0,0,0,0,0,10,0,0,0,1,0,12px,,,,ul//[document][0]/html[0]/body[36]/div[102]/div[134]/div[188]/div[189]/div[190]/div[216]/div[221]/div[222]/div[223]/div[224]/ul[225]/li[356]/div[357]/div[358]/div[359]/div[380]/ul[382]///https://belobuv.ru/
32,0,PrevNext,0,div,https://belobuv.ru/,8,['bx-controls-direction'],,None,14,,1,104,769,705,0,0,0,0,0,0,0,1,1,14px,,,,div//[document][0]/html[0]/body[36]/div[102]/div[134]/div[188]/div[189]/div[190]/div[216]/div[221]/div[222]/div[223]/div[583]/div[584]///https://belobuv.ru/
38,1,F737 G2891 Francesco Donni Сабо женские,0,a,https://belobuv.ru/,39,['name'],,None,19,https://belobuv.ru/f737-g2891-francesco-donni-sabo-zhenskie.html,2,-586,1125,205,40,0,0,7,0,0,0,1,3,14px,,,,a//[document][0]/html[0]/body[36]/div[102]/div[134]/div[188]/div[189]/div[190]/div[587]/div[592]/div[593]/div[594]/div[595]/ul[596]/li[597]/div[598]/div[599]/div[600]/a[610]///https://belobuv.ru/
39,0,37 38 39 40,0,ul,https://belobuv.ru/,11,,,None,20,,4,0,0,0,0,0,0,8,0,0,0,1,0,12px,,,,ul//[document][0]/html[0]/body[36]/div[102]/div[134]/div[188]/div[189]/div[190]/div[587]/div[592]/div[593]/div[594]/div[595]/ul[596]/li[597]/div[598]/div[599]/div[600]/div[615]/ul[617]///https://belobuv.ru/
40,1,47215 Marko Кроссовки мужские,0,a,https://belobuv.ru/,29,['name'],,None,19,https://belobuv.ru/47215-marko-krossovki-muzhskie.html,2,-352,1125,205,40,0,0,5,0,0,0,1,3,14px,,,,a//[document][0]/html[0]/body[36]/div[102]/div[134]/div[188]/div[189]/div[190]/div[587]/div[592]/div[593]/div[594]/div[595]/ul[596]/li[622]/div[623]/div[624]/div[625]/a[635]///https://belobuv.ru/
41,0,4 600р.Подробнее,0,div,https://belobuv.ru/,16,['buy-block'],,None,19,,16,-352,1175,205,40,0,0,4,0,0,0,1,2,14px,,,,div//[document][0]/html[0]/body[36]/div[102]/div[134]/div[188]/div[189]/div[190]/div[587]/div[592]/div[593]/div[594]/div[595]/ul[596]/li[622]/div[623]/div[624]/div[625]/div[636]///https://belobuv.ru/
42,2,4 600р.,0,div,https://belobuv.ru/,7,,,None,20,,16,-352,1175,68,40,0,0,4,0,0,0,1,2,18px,,,,div//[document][0]/html[0]/body[36]/div[102]/div[134]/div[188]/div[189]/div[190]/div[587]/div[592]/div[593]/div[594]/div[595]/ul[596]/li[622]/div[623]/div[624]/div[625]/div[636]/div[637]///https://belobuv.ru/
